,player,nation,pos,squad,comp,age,mp,starts,min,90s,gls,ast,g&a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg&xag,prgc,prgp,prgr,gls,ast,g&a,g_pk,g&a_pk,xg,xag,xg&xag,npxg,npxg&xag,agg_pos
22,Tosin Adarabioyo,ENG,DF,Fulham, Premier League,24,25.0,23.0,2085.0,23.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.4,1.1,16.0,95.0,3.0,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,DF
23,Martin Adeline,FRA,"MF,FW",Reims, Ligue 1,18,5.0,0.0,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,MF
24,Karim Adeyemi,GER,"FW,MF",Dortmund, Bundesliga,20,24.0,20.0,1386.0,15.4,6.0,5.0,11.0,6.0,0.0,1.0,9.0,0.0,5.0,4.3,3.7,8.0,49.0,47.0,131.0,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52,FW
26,Amine Adli,MAR,"FW,MF",Leverkusen, Bundesliga,22,26.0,16.0,1435.0,15.9,5.0,3.0,8.0,5.0,0.0,0.0,2.0,2.0,5.0,5.0,1.7,6.7,46.0,49.0,137.0,0.31,0.19,0.5,0.31,0.5,0.31,0.11,0.42,0.31,0.42,FW
27,Yacine Adli,FRA,"MF,FW",Milan, Serie A,22,6.0,1.0,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.22,0.05,0.22,MF
28,Michel Aebischer,SUI,"FW,MF",Bologna, Serie A,25,32.0,18.0,1542.0,17.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,0.6,2.1,14.0,46.0,85.0,0.06,0.0,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12,FW
29,Felix Afena-Gyan,GHA,"FW,MF",Cremonese, Serie A,19,23.0,7.0,817.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.9,1.9,0.1,2.0,22.0,8.0,54.0,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.22,0.21,0.22,FW
30,Emmanuel Agbadou,CIV,DF,Reims, Ligue 1,25,29.0,27.0,2388.0,26.5,0.0,3.0,3.0,0.0,0.0,0.0,5.0,3.0,1.7,1.7,2.4,4.1,15.0,131.0,8.0,0.0,0.11,0.11,0.0,0.11,0.06,0.09,0.15,0.06,0.15,DF
31,Julen Agirrezabala,ESP,GK,Athletic Club, La Liga,21,8.0,7.0,675.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK
32,Lucien Agoume,FRA,MF,Troyes, Ligue 1,20,15.0,14.0,1094.0,12.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,1.1,1.9,9.0,93.0,10.0,0.0,0.08,0.08,0.0,0.08,0.07,0.09,0.16,0.07,0.16,MF
